,source_id,map_method,target_id
204,http://purl.obolibrary.org/obo/NCIT_C94733,LOOM,http://www.ebi.ac.uk/efo/EFO_0009631
205,http://purl.obolibrary.org/obo/NCIT_C9347,LOOM,http://www.ebi.ac.uk/efo/EFO_1000599
206,http://purl.obolibrary.org/obo/NCIT_C3750,LOOM,http://www.ebi.ac.uk/efo/EFO_0007143
207,http://purl.obolibrary.org/obo/NCIT_C6887,LOOM,http://www.ebi.ac.uk/efo/EFO_1000584
208,http://purl.obolibrary.org/obo/NCIT_C53556,LOOM,http://www.ebi.ac.uk/efo/EFO_1000294
209,http://purl.obolibrary.org/obo/NCIT_C92624,LOOM,http://www.ebi.ac.uk/efo/EFO_1000451
210,http://purl.obolibrary.org/obo/NCIT_C26684,LOOM,http://www.ebi.ac.uk/efo/EFO_0009565
211,http://purl.obolibrary.org/obo/NCIT_C35273,LOOM,http://www.ebi.ac.uk/efo/EFO_1001876
212,http://purl.obolibrary.org/obo/NCIT_C127841,LOOM,http://www.ebi.ac.uk/efo/EFO_0009511
213,http://purl.obolibrary.org/obo/NCIT_C40023,LOOM,http://www.ebi.ac.uk/efo/EFO_1000494
214,http://purl.obolibrary.org/obo/NCIT_C7591,LOOM,http://www.ebi.ac.uk/efo/EFO_1000200
215,http://purl.obolibrary.org/obo/NCIT_C3214,LOOM,http://www.ebi.ac.uk/efo/EFO_0009554
216,http://purl.obolibrary.org/obo/NCIT_C96463,LOOM,http://www.ebi.ac.uk/efo/EFO_1000503
217,http://purl.obolibrary.org/obo/NCIT_C7112,LOOM,http://www.ebi.ac.uk/efo/EFO_1001848
218,http://purl.obolibrary.org/obo/NCIT_C53557,LOOM,http://www.ebi.ac.uk/efo/EFO_1000402
219,http://purl.obolibrary.org/obo/NCIT_C187665,LOOM,http://www.ebi.ac.uk/efo/EFO_0004723
220,http://purl.obolibrary.org/obo/NCIT_C178285,LOOM,http://www.ebi.ac.uk/efo/EFO_0009146
221,http://purl.obolibrary.org/obo/NCIT_C6536,LOOM,http://www.ebi.ac.uk/efo/EFO_1000468
222,http://purl.obolibrary.org/obo/NCIT_C5156,LOOM,http://www.ebi.ac.uk/efo/EFO_1000543
223,http://purl.obolibrary.org/obo/NCIT_C5498,LOOM,http://www.ebi.ac.uk/efo/EFO_1000186
224,http://purl.obolibrary.org/obo/NCIT_C43588,LOOM,http://www.ebi.ac.uk/efo/EFO_1000198
225,http://purl.obolibrary.org/obo/NCIT_C123242,LOOM,http://www.ebi.ac.uk/efo/EFO_0009065
226,http://purl.obolibrary.org/obo/NCIT_C3622,LOOM,http://www.ebi.ac.uk/efo/EFO_1000110
