	source_ontology	source_id	map_method	target_id
329	EFO	http://www.ebi.ac.uk/efo/EFO_0001030	REST	http://purl.obolibrary.org/obo/OBI_0001304
330	EFO	http://www.ebi.ac.uk/efo/EFO_0001753	REST	http://purl.obolibrary.org/obo/OBI_0001310
331	EFO	http://www.ebi.ac.uk/efo/EFO_0000544	REST	http://purl.obolibrary.org/obo/OBI_1110021
332	EFO	http://www.ebi.ac.uk/efo/EFO_0001765	REST	http://purl.obolibrary.org/obo/OBI_0500017
333	EFO	http://www.ebi.ac.uk/efo/EFO_0002770	REST	http://purl.obolibrary.org/obo/OBI_0001271
334	EFO	http://www.ebi.ac.uk/efo/EFO_0000749	REST	http://purl.obolibrary.org/obo/OBI_0001393
335	EFO	http://www.ebi.ac.uk/efo/EFO_0002702	REST	http://purl.obolibrary.org/obo/OBI_0400149
336	EFO	http://www.ebi.ac.uk/efo/EFO_0001758	REST	http://purl.obolibrary.org/obo/OBI_0001460
337	EFO	http://www.ebi.ac.uk/efo/EFO_0001748	REST	http://purl.obolibrary.org/obo/OBI_0001448
338	EFO	http://www.ebi.ac.uk/efo/EFO_0000562	REST	http://purl.obolibrary.org/obo/OBI_0600038
339	EFO	http://www.ebi.ac.uk/efo/EFO_0002768	REST	http://purl.obolibrary.org/obo/OBI_0001463
340	EFO	http://www.ebi.ac.uk/efo/EFO_0000513	REST	http://purl.obolibrary.org/obo/OBI_0001305
341	EFO	http://www.ebi.ac.uk/efo/EFO_0001674	REST	http://purl.obolibrary.org/obo/OBI_0000169
342	EFO	http://www.ebi.ac.uk/efo/EFO_0001032	REST	http://purl.obolibrary.org/obo/OBI_0000424
343	EFO	http://www.ebi.ac.uk/efo/EFO_0001751	REST	http://purl.obolibrary.org/obo/OBI_0001377
344	EFO	http://www.ebi.ac.uk/efo/EFO_0003749	REST	http://purl.obolibrary.org/obo/OBI_0000693
345	EFO	http://www.ebi.ac.uk/efo/EFO_0000540	REST	http://purl.obolibrary.org/obo/OBI_1110054
346	EFO	http://www.ebi.ac.uk/efo/EFO_0001763	REST	http://purl.obolibrary.org/obo/OBI_0001440
347	EFO	http://www.ebi.ac.uk/efo/EFO_0000753	REST	http://purl.obolibrary.org/obo/OBI_0001335
348	EFO	http://www.ebi.ac.uk/efo/EFO_0001762	REST	http://purl.obolibrary.org/obo/OBI_0001396
349	EFO	http://www.ebi.ac.uk/efo/EFO_0001783	REST	http://purl.obolibrary.org/obo/OBI_0001306
350	EFO	http://www.ebi.ac.uk/efo/EFO_0002774	REST	http://purl.obolibrary.org/obo/OBI_0000470
351	EFO	http://www.ebi.ac.uk/efo/EFO_0001745	REST	http://purl.obolibrary.org/obo/OBI_0001411
352	EFO	http://www.ebi.ac.uk/efo/EFO_0002704	REST	http://purl.obolibrary.org/obo/OBI_0001307
353	EFO	http://www.ebi.ac.uk/efo/EFO_0001728	REST	http://purl.obolibrary.org/obo/OBI_0000835
354	EFO	http://www.ebi.ac.uk/efo/EFO_0001760	REST	http://purl.obolibrary.org/obo/OBI_0001374
355	EFO	http://www.ebi.ac.uk/efo/EFO_0002703	REST	http://purl.obolibrary.org/obo/OBI_0001204
356	EFO	http://www.ebi.ac.uk/efo/EFO_0001779	REST	http://purl.obolibrary.org/obo/OBI_0500020
357	EFO	http://www.ebi.ac.uk/efo/EFO_0001747	REST	http://purl.obolibrary.org/obo/OBI_0001199
358	EFO	http://www.ebi.ac.uk/efo/EFO_0002090	REST	http://purl.obolibrary.org/obo/OBI_0000249
359	EFO	http://www.ebi.ac.uk/efo/EFO_0002760	REST	http://purl.obolibrary.org/obo/OBI_0001248
360	EFO	http://www.ebi.ac.uk/efo/EFO_0000428	REST	http://purl.obolibrary.org/obo/OBI_0000984
361	EFO	http://www.ebi.ac.uk/efo/EFO_0000616	REST	http://purl.obolibrary.org/obo/OBI_1110053
362	EFO	http://www.ebi.ac.uk/efo/EFO_0002761	REST	http://purl.obolibrary.org/obo/OBI_0001266
363	EFO	http://www.ebi.ac.uk/efo/EFO_0002091	REST	http://purl.obolibrary.org/obo/OBI_0000198
364	EFO	http://www.ebi.ac.uk/efo/EFO_0001033	REST	http://purl.obolibrary.org/obo/OBI_0001282
365	EFO	http://www.ebi.ac.uk/efo/EFO_0003785	REST	http://purl.obolibrary.org/obo/OBI_1110049
366	EFO	http://www.ebi.ac.uk/efo/EFO_0001764	REST	http://purl.obolibrary.org/obo/OBI_0001252
367	EFO	http://www.ebi.ac.uk/efo/EFO_0001749	REST	http://purl.obolibrary.org/obo/OBI_0001202
368	EFO	http://www.ebi.ac.uk/efo/EFO_0001780	REST	http://purl.obolibrary.org/obo/OBI_0001337
369	EFO	http://www.ebi.ac.uk/efo/EFO_0001770	REST	http://purl.obolibrary.org/obo/OBI_0500009
370	EFO	http://www.ebi.ac.uk/efo/EFO_0000548	REST	http://purl.obolibrary.org/obo/OBI_0000968
371	EFO	http://www.ebi.ac.uk/efo/EFO_0000246	REST	http://purl.obolibrary.org/obo/OBI_0001167
372	EFO	http://www.ebi.ac.uk/efo/EFO_0001746	REST	http://purl.obolibrary.org/obo/OBI_0000891
373	EFO	http://www.ebi.ac.uk/efo/EFO_0000408	REST	http://purl.obolibrary.org/obo/OBI_1110055
374	EFO	http://www.ebi.ac.uk/efo/EFO_0000554	REST	http://purl.obolibrary.org/obo/OBI_0302889
434	EFO	http://purl.obolibrary.org/obo/OBI_0200000	SAME_URI	http://purl.obolibrary.org/obo/OBI_0200000
