	target_id	map_method	source_id	source_ontology
139	http://purl.obolibrary.org/obo/DOID_13922	LOOM	http://purl.obolibrary.org/obo/NCIT_C27105	BAO
140	http://purl.obolibrary.org/obo/DOID_5826	LOOM	http://purl.obolibrary.org/obo/NCIT_C4671	BAO
141	http://purl.obolibrary.org/obo/DOID_11367	LOOM	http://purl.obolibrary.org/obo/NCIT_C35172	BAO
142	http://purl.obolibrary.org/obo/CHEBI_77780	LOOM	http://purl.obolibrary.org/obo/NCIT_C66569	BAO
143	http://purl.obolibrary.org/obo/DOID_12712	LOOM	http://purl.obolibrary.org/obo/NCIT_C123200	BAO
144	http://purl.obolibrary.org/obo/DOID_13336	LOOM	http://purl.obolibrary.org/obo/NCIT_C50503	BAO
145	http://www.bioassayontology.org/bao#BAO_0000502	LOOM	http://purl.obolibrary.org/obo/NCIT_C16295	BAO
146	http://www.bioassayontology.org/bao#BAO_0000502	LOOM	http://purl.obolibrary.org/obo/NCIT_C16295	BAO
147	http://www.bioassayontology.org/bao#BAO_0000502	LOOM	http://purl.obolibrary.org/obo/NCIT_C16295	BAO
148	http://purl.obolibrary.org/obo/DOID_13884	LOOM	http://purl.obolibrary.org/obo/NCIT_C62244	BAO
149	http://purl.obolibrary.org/obo/DOID_3965	LOOM	http://purl.obolibrary.org/obo/NCIT_C9231	BAO
150	http://purl.obolibrary.org/obo/DOID_14115	LOOM	http://purl.obolibrary.org/obo/NCIT_C35498	BAO
151	http://purl.obolibrary.org/obo/DOID_1927	LOOM	http://purl.obolibrary.org/obo/NCIT_C117254	BAO
152	http://purl.obolibrary.org/obo/DOID_9952	LOOM	http://purl.obolibrary.org/obo/NCIT_C3167	BAO
153	http://purl.obolibrary.org/obo/DOID_10128	LOOM	http://purl.obolibrary.org/obo/NCIT_C127822	BAO
154	http://purl.obolibrary.org/obo/DOID_11724	LOOM	http://purl.obolibrary.org/obo/NCIT_C84828	BAO
155	http://www.bioassayontology.org/bao#BAO_0000876	LOOM	http://purl.obolibrary.org/obo/NCIT_C47430	BAO
156	http://purl.obolibrary.org/obo/PATO_0000467	LOOM	http://purl.obolibrary.org/obo/NCIT_C25626	BAO
157	http://purl.obolibrary.org/obo/UBERON_0001264	LOOM	http://purl.obolibrary.org/obo/NCIT_C12393	BAO
158	http://purl.obolibrary.org/obo/CHEBI_35211	LOOM	http://purl.obolibrary.org/obo/NCIT_C94962	BAO
159	http://purl.obolibrary.org/obo/DOID_12365	LOOM	http://purl.obolibrary.org/obo/NCIT_C34797	BAO
160	http://purl.obolibrary.org/obo/CHEBI_8050	LOOM	http://purl.obolibrary.org/obo/NCIT_C44432	BAO
161	http://www.bioassayontology.org/bao#BAO_0030059	LOOM	http://purl.obolibrary.org/obo/NCIT_C105422	BAO
162	http://purl.obolibrary.org/obo/DOID_13626	LOOM	http://purl.obolibrary.org/obo/NCIT_C118750	BAO
163	http://purl.obolibrary.org/obo/DOID_5379	LOOM	http://purl.obolibrary.org/obo/NCIT_C35287	BAO
164	http://purl.obolibrary.org/obo/GO_0031099	LOOM	http://purl.obolibrary.org/obo/NCIT_C17083	BAO
165	http://purl.obolibrary.org/obo/DOID_2348	LOOM	http://purl.obolibrary.org/obo/NCIT_C34403	BAO
166	http://purl.obolibrary.org/obo/DOID_452	LOOM	http://purl.obolibrary.org/obo/NCIT_C8602	BAO
167	http://purl.obolibrary.org/obo/DOID_8461	LOOM	http://purl.obolibrary.org/obo/NCIT_C35256	BAO
168	http://www.bioassayontology.org/bao#BAO_0030020	LOOM	http://purl.obolibrary.org/obo/NCIT_C46001	BAO
169	http://purl.obolibrary.org/obo/DOID_14400	LOOM	http://purl.obolibrary.org/obo/NCIT_C62578	BAO
170	http://purl.obolibrary.org/obo/DOID_5684	LOOM	http://purl.obolibrary.org/obo/NCIT_C129031	BAO
171	http://www.bioassayontology.org/bao#BAO_0165000	LOOM	http://purl.obolibrary.org/obo/NCIT_C95553	BAO
172	http://www.bioassayontology.org/bao#BAO_0150033	LOOM	http://purl.obolibrary.org/obo/NCIT_C16782	BAO
173	http://purl.obolibrary.org/obo/DOID_6760	LOOM	http://purl.obolibrary.org/obo/NCIT_C4794	BAO
174	http://purl.obolibrary.org/obo/DOID_4440	LOOM	http://purl.obolibrary.org/obo/NCIT_C9309	BAO
175	http://purl.obolibrary.org/obo/DOID_3744	LOOM	http://purl.obolibrary.org/obo/NCIT_C4028	BAO
176	http://www.bioassayontology.org/bao#BAO_0003057	LOOM	http://purl.obolibrary.org/obo/NCIT_C523	BAO
177	http://purl.obolibrary.org/obo/DOID_2377	LOOM	http://purl.obolibrary.org/obo/NCIT_C3243	BAO
178	http://purl.obolibrary.org/obo/DOID_5285	LOOM	http://purl.obolibrary.org/obo/NCIT_C5186	BAO
179	http://purl.obolibrary.org/obo/DOID_9699	LOOM	http://purl.obolibrary.org/obo/NCIT_C116815	BAO
180	http://purl.obolibrary.org/obo/DOID_1588	LOOM	http://purl.obolibrary.org/obo/NCIT_C3408	BAO
181	http://purl.obolibrary.org/obo/DOID_1252	LOOM	http://purl.obolibrary.org/obo/NCIT_C128399	BAO
182	http://purl.obolibrary.org/obo/DOID_14227	LOOM	http://purl.obolibrary.org/obo/NCIT_C80076	BAO
183	http://purl.obolibrary.org/obo/DOID_10595	LOOM	http://purl.obolibrary.org/obo/NCIT_C75467	BAO
184	http://www.bioassayontology.org/bao#BAO_0030027	LOOM	http://purl.obolibrary.org/obo/NCIT_C16860	BAO
185	http://purl.obolibrary.org/obo/DOID_4744	LOOM	http://purl.obolibrary.org/obo/NCIT_C26856	BAO
186	http://purl.obolibrary.org/obo/DOID_5525	LOOM	http://purl.obolibrary.org/obo/NCIT_C9161	BAO
187	http://purl.obolibrary.org/obo/DOID_905	LOOM	http://purl.obolibrary.org/obo/NCIT_C85239	BAO
188	http://purl.obolibrary.org/obo/DOID_9270	LOOM	http://purl.obolibrary.org/obo/NCIT_C84546	BAO
189	http://purl.obolibrary.org/obo/GO_0005829	LOOM	http://purl.obolibrary.org/obo/NCIT_C61554	BAO
190	http://purl.obolibrary.org/obo/CHEBI_59174	LOOM	http://purl.obolibrary.org/obo/NCIT_C13239	BAO
191	http://purl.obolibrary.org/obo/DOID_11914	LOOM	http://purl.obolibrary.org/obo/NCIT_C80512	BAO
192	http://purl.obolibrary.org/obo/DOID_1076	LOOM	http://purl.obolibrary.org/obo/NCIT_C123216	BAO
193	http://purl.obolibrary.org/obo/DOID_10607	LOOM	http://purl.obolibrary.org/obo/NCIT_C45428	BAO
194	http://purl.obolibrary.org/obo/DOID_14464	LOOM	http://purl.obolibrary.org/obo/NCIT_C94829	BAO
195	http://purl.obolibrary.org/obo/DOID_0050606	LOOM	http://purl.obolibrary.org/obo/NCIT_C27519	BAO
196	http://purl.obolibrary.org/obo/DOID_1235	LOOM	http://purl.obolibrary.org/obo/NCIT_C94353	BAO
197	http://purl.obolibrary.org/obo/DOID_3635	LOOM	http://purl.obolibrary.org/obo/NCIT_C84647	BAO
198	http://purl.obolibrary.org/obo/DOID_9743	LOOM	http://purl.obolibrary.org/obo/NCIT_C26748	BAO
199	http://purl.obolibrary.org/obo/DOID_7365	LOOM	http://purl.obolibrary.org/obo/NCIT_C26867	BAO
200	http://purl.obolibrary.org/obo/DOID_3711	LOOM	http://purl.obolibrary.org/obo/NCIT_C4032	BAO
201	http://purl.obolibrary.org/obo/DOID_0050427	LOOM	http://purl.obolibrary.org/obo/NCIT_C3452	BAO
202	http://www.bioassayontology.org/bao#BAO_0000119	LOOM	http://purl.obolibrary.org/obo/NCIT_C124144	BAO
203	http://purl.obolibrary.org/obo/DOID_6458	LOOM	http://purl.obolibrary.org/obo/NCIT_C6905	BAO
204	http://purl.obolibrary.org/obo/DOID_0050676	LOOM	http://purl.obolibrary.org/obo/NCIT_C28244	BAO
